People,Density,EntryRate,Temp,Humidity,CO2,Airflow,Time,Session,OutsideTemp,RoomSize,ACCapacity,ACUnits,Feedback
1,0.01,0,25.01,56,467,0.85,16,Empty,39,200,2.5,3,-1
52,0.26,1,27.22,56,777,0.31,9,Lecture,38,200,2.0,4,1
130,0.65,24,28.74,59,1154,0.66,11,Empty,29,200,2.5,1,1
132,0.66,22,29.05,56,1228,0.62,9,Empty,36,200,1.5,4,1
177,0.89,4,32.45,74,1518,0.37,18,Empty,34,200,1.5,2,1
75,0.38,20,27.91,56,843,0.69,12,Networking,36,200,2.5,4,1
66,0.33,2,27.79,58,825,0.43,10,Networking,32,200,2.5,1,1
73,0.36,17,27.46,42,860,0.97,12,Lecture,30,200,1.5,1,1
37,0.18,4,26.47,71,566,0.79,10,Empty,38,200,1.5,1,1
86,0.43,22,26.17,48,888,0.32,12,Networking,29,200,2.0,3,0
67,0.34,13,25.79,65,809,0.51,18,Networking,39,200,2.0,4,1
6,0.03,25,23.0,65,402,0.97,10,Lecture,32,200,2.5,2,-1
133,0.67,25,29.67,49,1265,0.42,18,Lecture,34,200,2.5,1,1
159,0.8,23,32.35,61,1338,0.89,14,Networking,34,200,2.0,1,1
109,0.55,13,28.54,64,1107,0.52,15,Empty,37,200,2.0,4,1
140,0.7,2,31.36,70,1221,0.9,10,Networking,29,200,2.5,3,1
178,0.89,8,32.87,65,1445,0.63,18,Lecture,38,200,2.5,1,1
44,0.22,14,26.09,60,681,0.81,11,Lecture,41,200,2.5,4,1
57,0.28,6,25.43,41,693,0.54,10,Lecture,39,200,2.5,4,0
188,0.94,18,33.36,63,1506,0.29,13,Networking,31,200,2.5,1,1
47,0.23,13,25.49,68,670,0.48,14,Lecture,39,200,1.5,4,0
87,0.43,20,26.43,68,964,0.33,17,Networking,32,200,1.5,1,1
90,0.45,9,27.27,75,1003,0.78,15,Empty,30,200,2.5,1,1
107,0.54,19,29.1,49,986,0.82,18,Empty,42,200,2.5,4,1
182,0.91,5,32.01,68,1544,0.86,11,Empty,38,200,1.5,1,1
21,0.1,9,24.02,63,542,0.33,10,Lecture,35,200,2.0,2,0
133,0.67,17,29.75,40,1135,0.72,15,Lecture,33,200,2.5,2,1
147,0.73,24,32.71,49,1250,0.68,10,Networking,41,200,1.5,1,1
49,0.24,17,25.19,72,642,0.38,18,Networking,29,200,1.5,2,1
141,0.7,25,29.68,62,1309,0.85,18,Networking,36,200,2.5,2,1
61,0.3,24,28.18,68,753,0.35,16,Empty,37,200,2.0,4,1
160,0.8,7,33.35,67,1336,0.35,14,Empty,39,200,1.5,4,1
66,0.33,5,25.87,52,791,0.59,17,Lecture,30,200,1.5,1,0
29,0.14,23,25.43,41,621,0.41,9,Networking,35,200,2.5,4,-1
61,0.3,24,25.98,45,817,0.49,14,Lecture,38,200,2.5,4,0
27,0.14,7,25.02,68,532,0.71,9,Empty,35,200,1.5,1,0
154,0.77,16,31.84,56,1377,0.58,11,Networking,35,200,1.5,2,1
35,0.17,13,26.13,69,533,0.63,18,Networking,36,200,2.0,1,0
11,0.06,3,25.61,60,448,0.24,18,Empty,40,200,2.0,4,1
51,0.26,12,26.43,75,677,0.44,17,Lecture,33,200,1.5,4,1
10,0.05,5,23.21,73,528,0.46,15,Empty,36,200,2.5,1,1
67,0.34,8,25.54,63,828,0.38,9,Empty,36,200,2.0,2,0
16,0.08,17,24.66,48,493,0.92,17,Lecture,28,200,2.0,2,-1
37,0.18,21,25.94,75,671,1.0,15,Lecture,39,200,2.5,2,1
10,0.05,21,23.1,46,407,0.55,13,Empty,39,200,2.5,4,-1
145,0.72,9,31.61,57,1336,0.36,14,Lecture,39,200,2.5,2,1
168,0.84,21,33.1,43,1397,0.95,18,Empty,34,200,1.5,1,1
13,0.07,10,23.36,57,554,0.32,13,Networking,32,200,2.0,2,-1
15,0.07,21,23.72,41,545,0.96,12,Lecture,37,200,1.5,4,-1
110,0.55,21,30.0,57,1030,0.71,12,Networking,32,200,2.0,2,1
83,0.41,22,27.64,67,936,0.27,16,Empty,30,200,1.5,4,1
189,0.94,9,33.53,75,1497,0.25,9,Lecture,40,200,1.5,2,1
